index,zh,en,count,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
108,东南大学,Southeast University,14/16,[Reanon/SEUThesisLatexTemplate](https://github.com/Reanon/SEUThesisLatexTemplate),1,67,15,1,2023-01-05,2022-01-10,2023-11-17, ,东南大学 硕士毕业论文 Latex 模版 网络空间安全学院
109,东南大学,Southeast University,14/16,[SouthEastUniversityofChina/seuthesis](https://github.com/SouthEastUniversityofChina/seuthesis),0,5,5,2,2014-07-18,2014-07-17,2023-07-17, ,**【长久未更新】** Latex Template for Graduation Thesis
110,东南大学,Southeast University,14/16,[SuikaXhq/seu-bachelor-thesis-2022](https://github.com/SuikaXhq/seu-bachelor-thesis-2022),1,60,2,2,2023-02-17,2022-04-16,2023-10-17,GPL-3.0,东南大学本科毕业设计（论文）模版
111,东南大学,Southeast University,14/16,[TouchFishPioneer/SEU-master-thesis](https://github.com/TouchFishPioneer/SEU-master-thesis),1,118,24,2,2022-04-28,2019-05-29,2023-11-22,GPL-3.0,东南大学硕士研究生学位论文LaTeX模板
112,东南大学,Southeast University,14/16,[cmuCoppelia/seuthesis2020](https://github.com/cmuCoppelia/seuthesis2020),1,14,6,2,2020-05-07,2020-05-02,2023-06-03,MIT,"seu thesis latex template of bachelor's degree, 2020"
113,东南大学,Southeast University,14/16,[jasonbian97/Southeast-University-Paper-Latex-Template](https://github.com/jasonbian97/Southeast-University-Paper-Latex-Template),1,7,1,1,2019-06-14,2019-06-14,2020-11-05, ,东南大学学位论文latex模板
114,东南大学,Southeast University,14/16,[liuying1905/seu_thesis](https://github.com/liuying1905/seu_thesis),1,0,0,1,2021-06-03,2021-06-03,2021-06-03, ,a template for seu thesis
115,东南大学,Southeast University,14/16,[oldoldstone/seuthslyx](https://github.com/oldoldstone/seuthslyx),0,8,3,3,2017-09-04,2017-09-02,2022-01-29,GPL-3.0,**【长久未更新】** 东南大学学位论文 LyX 模板
116,东南大学,Southeast University,14/16,[seucs/seuthesis](https://github.com/seucs/seuthesis),1,114,36,6,2020-10-28,2017-03-28,2023-10-19,MIT,LaTeX Thesis Template for Southeast University
117,东南大学,Southeast University,14/16,[wen-fei/seu-thesis-latex-template](https://github.com/wen-fei/seu-thesis-latex-template),1,86,29,2,2023-11-22,2020-05-29,2023-10-17, ,东南大学毕业论文latex模板
118,东南大学,Southeast University,14/16,[zhimengfan1990/seuthesix](https://github.com/zhimengfan1990/seuthesix),1,86,53,5,2023-03-19,2016-01-13,2023-11-22,GPL-3.0,seuthesix: A LaTeX document class for typesetting thesis/dissertation of Southeast University.
119,对外经贸大学,University of International Business and Economics,1/1,[caibengbu/uibethesis](https://github.com/caibengbu/uibethesis),1,3,0,1,2021-04-20,2019-03-30,2023-08-03, ,"This is a template for undergrad graduation thesis of University of International Business and Economics, Beijing. Sticking strictly to the layout requirements by jwc.uibe.edu.cn"
120,福州大学,Fuzhou University,1/2,[FzuerStudio/fzu-thesis-template](https://github.com/FzuerStudio/fzu-thesis-template),0,4,0,1,2013-05-14,2013-05-10,2023-04-10, ,**【长久未更新】** 福州大学本科毕业论文模板，模板是按照《福州大学本科生毕业设计（论文）撰写规范》的文件要求并针对《规范》没有明确的部分仔细斟酌下制作的，不是学校官方发布，所以不能完全代表《规范》，但规范要求的地方，都严格遵照制定。如果您觉得本模板具有参考价值，请在使用模板之前，仔细阅读《规范》文件，有不当的地方请大家指出。
121,福州大学,Fuzhou University,1/2,[siaimes/ThesisFZU](https://github.com/siaimes/ThesisFZU),1,31,4,1,2023-10-08,2018-12-26,2023-11-15, ,福州大学学位论文模板 全校全年段通用
122,复旦大学,Fudan University,8/8,[FHDWPB/latex-thesis-template](https://github.com/FHDWPB/latex-thesis-template),1,28,23,6,2023-11-21,2017-09-22,2023-10-17,Apache-2.0,LaTex template for Bachelor and Master Theses at FHDW Padeborn
123,复旦大学,Fudan University,8/8,[Pandoxie/FDU-Thesis-Latex](https://github.com/Pandoxie/FDU-Thesis-Latex),1,64,21,4,2018-02-02,2014-03-22,2023-10-26,MIT,Fudan University-Latex Template
124,复旦大学,Fudan University,8/8,[ShupeiLi/fudan-thesis-template](https://github.com/ShupeiLi/fudan-thesis-template),1,3,1,1,2022-04-11,2022-04-11,2023-05-19, ,复旦大学学士学位论文模板
125,复旦大学,Fudan University,8/8,[eurekayuan/fduthesis2022](https://github.com/eurekayuan/fduthesis2022),1,15,7,1,2022-05-21,2022-03-15,2023-02-26, ,"LaTeX thesis template for CS undergraduates, Fudan University, 2022"
126,复旦大学,Fudan University,8/8,[fduxiao/format_for_fdu_math](https://github.com/fduxiao/format_for_fdu_math),1,9,1,2,2019-05-09,2019-05-09,2023-05-29, ,复旦大学数学学院毕业论文latex格式
127,复旦大学,Fudan University,8/8,[stone-zeng/fduthesis](https://github.com/stone-zeng/fduthesis),1,695,183,16,2023-05-27,2017-02-18,2023-11-24,LPPL-1.3c,LaTeX thesis template for Fudan University
128,复旦大学,Fudan University,8/8,[yhyi15/FDU_PhD_Thesis_Template](https://github.com/yhyi15/FDU_PhD_Thesis_Template),1,3,2,1,2017-04-04,2018-05-13,2023-05-29, ,复旦博士论文模板
129,复旦大学,Fudan University,8/8,[yzbrlan/fudan-thesis-latex-template](https://github.com/yzbrlan/fudan-thesis-latex-template),1,47,15,2,2023-03-30,2020-06-09,2023-11-13, ,复旦论文latex模版，包括毕业论文模版，普通课程论文模版(带封皮)
130,广东工业大学,Guangdong University of Technology,1/2,[jokerdawn/GDUTThesis](https://github.com/jokerdawn/GDUTThesis),0,10,10,3,2019-02-19,2013-06-02,2023-01-28, ,**【已归档】** GDUTThesis
131,广东工业大学,Guangdong University of Technology,1/2,[sikouhjw/gdutthesis](https://github.com/sikouhjw/gdutthesis),1,154,32,6,2023-09-26,2021-06-07,2023-11-21,LPPL-1.3c,广东工业大学 LaTeX 论文模板
132,广州大学,Guangzhou University,1/2,[swq123459/GZHU-Report-Latex-Version](https://github.com/swq123459/GZHU-Report-Latex-Version),1,290,170,4,2020-05-09,2018-12-28,2023-11-19,MIT,我自己制作的广州大学Latex报告模板，有毕业设计，课程设计，毕业论文，等等🎈
133,广州大学,Guangzhou University,1/2,[whitelok/GZHU_Latex_Template](https://github.com/whitelok/GZHU_Latex_Template),0,7,3,2,2017-09-13,2014-06-09,2023-06-30,MIT,**【长久未更新】** Guangzhou University bachelor 's degree thesis Latex template 广州大学学士毕业论文模板
134,桂林电子科技大学,Guilin University of Electronic Science and Technology,2/2,[GUET-TeX-Users-Group/GUET_Thesis_LaTeX](https://github.com/GUET-TeX-Users-Group/GUET_Thesis_LaTeX),1,18,7,2,2023-11-24,2023-04-03,2023-11-24,LPPL-1.3c,桂林电子科技大学硕博学位论文LATEX模板
135,桂林电子科技大学,Guilin University of Electronic Science and Technology,2/2,[wrm244/GUEThesis](https://github.com/wrm244/GUEThesis),1,2,0,1,2023-08-04,2023-06-05,2023-08-04,LPPL-1.3c,桂林电子科技大学本科毕业论文(毕业设计)LaTex模板 | Guilin University of Electronic Technology LaTeX Undergraduate Dissertation Template
136,贵州大学,Guizhou University,1/1,[francisol/GZUthesis-template](https://github.com/francisol/GZUthesis-template),1,0,0,1,2022-05-29,2022-04-11,2022-11-18, ,贵州大学研究生学位论文模板
137,国防科技大学,National Defense University of Science and Technology,3/3,[TomHeaven/nudt_thesis](https://github.com/TomHeaven/nudt_thesis),1,124,41,3,2023-02-02,2018-04-27,2023-11-24,MIT,NUDT硕士博士毕业论文latex模板
138,国防科技大学,National Defense University of Science and Technology,3/3,[liubenyuan/nudtpaper](https://github.com/liubenyuan/nudtpaper),1,309,146,22,2022-11-02,2013-02-23,2023-11-23, ,A LaTeX template for Master/PhD Thesis of NUDT
139,国防科技大学,National Defense University of Science and Technology,3/3,[nonsense-j/NUDT_FinalPaper](https://github.com/nonsense-j/NUDT_FinalPaper),1,7,1,1,2023-08-09,2022-06-07,2023-05-04,MIT,A latex template for undergraduate thesis in NUDT
140,哈尔滨工程大学,Harbin Engineering University,0/1,[Benyjuice/hrbeuthesis](https://github.com/Benyjuice/hrbeuthesis),0,26,9,2,2016-03-18,2015-05-12,2023-09-28, ,**【长久未更新】** 哈尔滨工程大学本硕博学位论文LaTex模板
141,哈尔滨工业大学,Harbin Institute of Technology,4/4,[FutureForMe/HIT_thesis](https://github.com/FutureForMe/HIT_thesis),1,0,0,2,2022-08-28,2022-08-28,2022-08-28, , 
142,哈尔滨工业大学,Harbin Institute of Technology,4/4,[HawkTom/sustech-hithesis](https://github.com/HawkTom/sustech-hithesis),1,13,7,1,2019-07-01,2019-04-22,2023-09-23, ,Thesis Latex template for master/PhD student in SUSTech with HIT degree
143,哈尔滨工业大学,Harbin Institute of Technology,4/4,[Jingxuan-Yang/YangThesis.HITSZ.Dissertation](https://github.com/Jingxuan-Yang/YangThesis.HITSZ.Dissertation),1,5,0,2,2019-10-30,2019-09-29,2022-01-09, , 
144,哈尔滨工业大学,Harbin Institute of Technology,4/4,[hithesis/hithesis](https://github.com/hithesis/hithesis),1,1431,343,22,2023-09-20,2017-06-08,2023-11-24, ,嗨！thesis！哈尔滨工业大学毕业论文LaTeX模板
145,哈尔滨医科大学,Harbin Medical University,0/1,[a67878813/HMUThesis-master](https://github.com/a67878813/HMUThesis-master),0,2,2,1,2017-05-30,2016-12-01,2023-10-25,Apache-2.0,**【长久未更新】** ## 哈尔滨医科大学硕博士学位论文xelatex模版##HMUThesis ##非官方。
146,海南大学,Hainan University,0/1,[zoltarsun/hainuthesis](https://github.com/zoltarsun/hainuthesis),0,5,4,1,2017-06-25,2017-04-22,2023-03-11, ,**【长久未更新】** hainuthesis-bachelor
147,海南师范大学,Hainan Normal University,1/1,[cliffigor/hainnu-thesis](https://github.com/cliffigor/hainnu-thesis),1,0,0,1,2022-10-19,2022-02-22,2022-02-22,MIT, 
148,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[LeoAlex0/LaTeX-HDU-Bachelor-Thesis](https://github.com/LeoAlex0/LaTeX-HDU-Bachelor-Thesis),1,23,3,3,2021-05-17,2021-03-12,2023-11-08,MIT,杭州电子科技大学本科毕业设计的 LaTeX 模板 (修改自： https://github.com/m13253/LaTeX-HDU-Bachelor-Thesis）
149,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[cughmy/hduthesis](https://github.com/cughmy/hduthesis),1,13,4,1,2019-02-19,2018-07-08,2023-10-19,MIT,The LaTeX template of thesis of HDU
150,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[dcpnonstop/HDUthesis](https://github.com/dcpnonstop/HDUthesis),1,18,3,2,2018-10-19,2018-10-19,2023-11-15, ,杭州电子科技大学硕士论文模板
151,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[hduffddybz/HDU-thesis](https://github.com/hduffddybz/HDU-thesis),0,16,8,3,2016-10-29,2016-08-16,2023-10-25, ,**【长久未更新】** 杭州电子科技大学硕士论文 LaTeX 模板
152,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[m13253/LaTeX-HDU-Bachelor-Thesis](https://github.com/m13253/LaTeX-HDU-Bachelor-Thesis),1,20,7,4,2020-01-06,2019-05-18,2023-01-27,MIT,LaTeX template for bachelor thesis of Hangzhou Dianzi University 杭州电子科技大学本科毕业设计的 LaTeX 模板
153,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[xiamyphys/hduthesis](https://github.com/xiamyphys/hduthesis),1,8,0,1,2023-06-02,2023-06-02,2023-11-13, ,杭州电子科技大学本科生毕业论文LaTeX模板
154,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[xmlu/hduthesis](https://github.com/xmlu/hduthesis),1,1,2,1,2023-04-29,2022-10-10,2023-02-06,MIT,杭州电子科技大学硕士学位论文LaTeX模版
155,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,7/8,[ydar95/HDU-Master-Thesis-Latex](https://github.com/ydar95/HDU-Master-Thesis-Latex),1,4,1,1,2022-04-14,2022-04-14,2023-08-22, ,（2022年）基于Latex的杭州电子科技大学硕士大论文模版
156,合肥工业大学,HeFei University of Technology,2/2,[HFUTTUG/HFUT_Thesis](https://github.com/HFUTTUG/HFUT_Thesis),1,112,26,7,2023-06-01,2021-05-17,2023-11-22,LPPL-1.3c,LaTeX Thesis Template for Hefei University of Technology
157,合肥工业大学,HeFei University of Technology,2/2,[netcan/HFUT_Thesis](https://github.com/netcan/HFUT_Thesis),1,51,21,2,2021-05-24,2018-04-02,2023-11-24, ,合肥工业大学毕业设计（论文）模板
158,河海大学,Hohai University,4/4,[Vitzron/HHU-thesis](https://github.com/Vitzron/HHU-thesis),1,17,3,1,2021-08-16,2021-03-19,2023-09-26,GPL-3.0,河海大学研究生学位论文LaTeX模板
159,河海大学,Hohai University,4/4,[caowenhan/hhuthesis](https://github.com/caowenhan/hhuthesis),1,47,12,2,2022-02-11,2020-07-21,2023-11-20,LPPL-1.3c,"Aiming at the dissertations nonstandard format problems such as chart format, writing format and formula format, a simple and easy-to-use LaTeX template for Hohai dissertations is provided. The template strictly follows the requirements of the academic committee of Hohai University on the format of the dissertations and the corresponding national standards and specifications."
160,河海大学,Hohai University,4/4,[davyxx3/hhu-thesis-bachelor](https://github.com/davyxx3/hhu-thesis-bachelor),1,12,0,1,2023-11-24,2022-05-29,2023-11-10,MIT,河海大学本科毕业论文LaTeX模板
161,河海大学,Hohai University,4/4,[schochastics/hhu_thesis](https://github.com/schochastics/hhu_thesis),1,5,1,2,2023-07-12,2023-06-19,2023-10-06, ,A Quarto template for thesises written at HHU
162,湖北经济学院,Hubei School of Economics,1/1,[snyh/hbue_thesis](https://github.com/snyh/hbue_thesis),1,3,0,3,2019-03-19,2012-02-27,2021-02-22, ,湖北经济学院本科毕业论文latex模板（12届，计算机科学院规范)
163,湖南大学,Hunan University,9/9,[Gwinel/hnuthesis](https://github.com/Gwinel/hnuthesis),1,15,4,2,2023-03-28,2020-06-15,2023-04-13, ,湖南大学硕士学位论文模板（latex）
164,湖南大学,Hunan University,9/9,[Jeffrey28/HNU_DoctoralThesis_Latex](https://github.com/Jeffrey28/HNU_DoctoralThesis_Latex),1,5,0,1,2023-05-09,2023-04-17,2023-11-14, ,湖南大学研究生毕业论文Latex模版
165,湖南大学,Hunan University,9/9,[LASER-Yi/HNU-Thesis-LaTeX-Template](https://github.com/LASER-Yi/HNU-Thesis-LaTeX-Template),1,6,1,1,2019-05-22,2019-03-31,2023-04-04,GPL-3.0,湖南大学大理类 LaTeX 论文模版
166,湖南大学,Hunan University,9/9,[MaFuyan/HNU_Thesis_LaTeX_MacOS](https://github.com/MaFuyan/HNU_Thesis_LaTeX_MacOS),1,2,0,2,2022-01-04,2022-01-04,2023-02-19, ,湖南大学硕士学位论文LaTeX模板 MacOS
167,湖南大学,Hunan University,9/9,[davendw49/HNUbFinalThesis_template](https://github.com/davendw49/HNUbFinalThesis_template),1,1,0,0,2019-05-21,2019-05-21,2023-05-09, ,HNU bachelor Final Thesis‘s template
168,湖南大学,Hunan University,9/9,[leaf-hsiao/HNUThesisTemplate](https://github.com/leaf-hsiao/HNUThesisTemplate),1,42,12,2,2019-12-11,2017-02-27,2023-08-29, ,湖南大学本科生毕业论文LaTeX模板
169,湖南大学,Hunan University,9/9,[ljmdzyx1985/HNUthesis_doctor](https://github.com/ljmdzyx1985/HNUthesis_doctor),1,1,6,0,2019-05-29,2018-12-03,2021-11-20, ,湖南大学博士毕业论文Latex模版
170,湖南大学,Hunan University,9/9,[ljmdzyx1985/HNUthesis_master](https://github.com/ljmdzyx1985/HNUthesis_master),1,25,5,1,2019-05-29,2018-12-03,2023-11-14, ,湖南大学硕士学位论文Latex模版
171,湖南大学,Hunan University,9/9,[yusanshi/hnuthesis](https://github.com/yusanshi/hnuthesis),1,44,15,1,2023-05-23,2021-04-23,2023-11-18,MIT,湖南大学硕士学位论文 LaTeX 模板
172,湖南工商大学,Hunan Industrial and Commercial University,1/1,[ethan-phu/hutb_master_thesis_latex](https://github.com/ethan-phu/hutb_master_thesis_latex),1,2,0,1,2022-03-12,2021-12-27,2023-01-10, ,湖南工商大学硕士毕业论文Latex模板
173,湖南师范大学,Hunan Normal University,2/2,[gkm0120/hunnu](https://github.com/gkm0120/hunnu),1,0,0,1,2022-09-04,2022-09-04,2023-02-08, ,湖南师范大学硕士毕业论文LaTeX模板，封面预览：https://cdn.jsdelivr.net/gh/gkm0120/CDN/img/20220907141941.png
174,湖南师范大学,Hunan Normal University,2/2,[ljmdzyx1985/HUNNU_Thesis](https://github.com/ljmdzyx1985/HUNNU_Thesis),1,4,1,2,2021-03-23,2021-03-18,2023-02-20, ,湖南师范大学硕士学位论文
175,华北电力大学,North China Electric Power University,1/1,[obster-y/NCEPU-thesis](https://github.com/obster-y/NCEPU-thesis),1,23,6,4,2021-11-20,2020-02-12,2023-10-26,LPPL-1.3c,An unofficial LaTeX template based on NCEPU degree thesis requirement 一个非官方的华北电力大学学士学位论文LaTeX模板
176,华东理工大学,East China University of Science and Technology,4/7,[clyce/ecust_thesis_template](https://github.com/clyce/ecust_thesis_template),0,1,2,0,2013-03-31,2013-03-12,2023-09-11, ,**【长久未更新】** 
177,华东理工大学,East China University of Science and Technology,4/7,[dagnaf/ecust-bachelor-thesis-template](https://github.com/dagnaf/ecust-bachelor-thesis-template),1,15,7,1,2022-03-03,2015-01-05,2023-09-25,GPL-2.0,华东理工大学本科生毕业论文模板
178,华东理工大学,East China University of Science and Technology,4/7,[fireflylyn/Ecust_Bachelor_LaTeX_Template](https://github.com/fireflylyn/Ecust_Bachelor_LaTeX_Template),0,12,1,3,2017-06-05,2017-06-05,2023-08-16, ,**【长久未更新】** 华东理工大学本科毕业设计LaTeX模板
179,华东理工大学,East China University of Science and Technology,4/7,[hgkdzbf6/EcustThesis](https://github.com/hgkdzbf6/EcustThesis),1,5,2,2,2019-03-05,2019-02-05,2020-12-15,Apache-2.0,根据SJTUThesis改编，华理硕士应该能用了
180,华东理工大学,East China University of Science and Technology,4/7,[liuqipei/ecust-template-latex](https://github.com/liuqipei/ecust-template-latex),1,2,1,1,2022-03-12,2022-03-12,2023-08-29,GPL-2.0,华东理工大学本硕博学位论文latex模板
181,华东理工大学,East China University of Science and Technology,4/7,[scottoasis/ecustthesis](https://github.com/scottoasis/ecustthesis),0,2,3,1,2013-06-16,2013-04-24,2023-05-13, ,"**【长久未更新】** A LaTeX template for Bachelor thesis, ECUST, China"
182,华东理工大学,East China University of Science and Technology,4/7,[wjsong365/ECUST_Thesis_LaTeX](https://github.com/wjsong365/ECUST_Thesis_LaTeX),1,6,3,2,2023-01-15,2021-06-04,2023-09-09, ,华东理工大学博士论文LaTeX模板
183,华东师范大学,East China Normal University,15/16,[Baileyswu/ECNU-thesis-template](https://github.com/Baileyswu/ECNU-thesis-template),1,20,9,2,2023-07-16,2021-05-11,2023-11-20,NOASSERTION,华东师范大学硕士学位论文模版
184,华东师范大学,East China Normal University,15/16,[DeepTrial/ECNU-Dissertations-Latex-Template](https://github.com/DeepTrial/ECNU-Dissertations-Latex-Template),1,41,17,1,2021-11-15,2020-09-21,2023-04-30,NOASSERTION,华东师范大学硕（博）士论文LaTex模板
185,华东师范大学,East China Normal University,15/16,[ECNU-ICA/ECNU_graduation_thesis_template](https://github.com/ECNU-ICA/ECNU_graduation_thesis_template),1,80,16,5,2022-03-22,2021-11-17,2023-11-23,MIT,华东师范大学研究生毕业论文 Latex 模板
186,华东师范大学,East China Normal University,15/16,[Haskely/ECNUMasterThesisLatexTemplate](https://github.com/Haskely/ECNUMasterThesisLatexTemplate),1,0,1,1,2022-10-01,2022-10-01,2022-10-01, ,华东师范大学硕士学位论文 Latex 模板（Latex template for Master thesis of East China normal University）
187,华东师范大学,East China Normal University,15/16,[Jarvis-K/ECNU_Latex_Template](https://github.com/Jarvis-K/ECNU_Latex_Template),1,4,1,3,2019-05-08,2019-03-13,2019-05-26, ,ECNU CS Undergraduate thesis latex template
188,华东师范大学,East China Normal University,15/16,[Koyamin/ECNUThesis-Undergraduate](https://github.com/Koyamin/ECNUThesis-Undergraduate),1,43,19,2,2023-05-20,2021-01-31,2023-08-04,LPPL-1.3c,"华东师范大学 (East China Normal University, ECNU) 本科生学士学位论文 LaTeX 模板"
189,华东师范大学,East China Normal University,15/16,[QiushiSun/ECNU-Undergraduate-Thesis-Template-2022](https://github.com/QiushiSun/ECNU-Undergraduate-Thesis-Template-2022),1,22,9,2,2022-04-22,2022-03-27,2023-10-08,BSD-2-Clause,ECNU Undergraduate Thesis Template (Class of 2022)
190,华东师范大学,East China Normal University,15/16,[SmartPangzi/ECNU-Graduation-Thesis-Template](https://github.com/SmartPangzi/ECNU-Graduation-Thesis-Template),1,0,1,2,2020-07-04,2020-07-04,2021-07-05, ,华东师范大学研究生毕业论文Latex模板
191,华东师范大学,East China Normal University,15/16,[YijunYuan/ECNU-Undergraduate-LaTeX](https://github.com/YijunYuan/ECNU-Undergraduate-LaTeX),0,92,15,4,2020-04-09,2018-03-16,2023-10-11,NOASSERTION,**【已归档】** 华东师范大学本科毕业论文模板（不再维护）
192,华东师范大学,East China Normal University,15/16,[c834606877/ECNU-Paper-Template](https://github.com/c834606877/ECNU-Paper-Template),1,32,8,2,2021-12-05,2019-11-27,2023-10-11, ,华东师范大学(ECNU)  硕士 研究生 毕业论文 LaTeX模板
193,华东师范大学,East China Normal University,15/16,[chguw/ecnuphd](https://github.com/chguw/ecnuphd),1,0,0,1,2023-04-11,2023-04-11,2023-04-11,BSD-3-Clause,华东师范大学博士学位论文 LaTeX 模板
194,华东师范大学,East China Normal University,15/16,[ddusen/ecnu-master-thesis-template](https://github.com/ddusen/ecnu-master-thesis-template),1,20,2,1,2023-02-23,2022-02-11,2023-09-14,Apache-2.0,2022华东师范大学硕士论文模版
195,华东师范大学,East China Normal University,15/16,[myzmh/ECNU-MASTER-S-DISSERTATION-](https://github.com/myzmh/ECNU-MASTER-S-DISSERTATION-),1,4,0,1,2022-05-01,2022-04-26,2023-05-29, ,华东师范大学 硕士毕业论文模版 overleaf 版本
196,华东师范大学,East China Normal University,15/16,[programokey/ECNUUndergraduateDissertationTemplate](https://github.com/programokey/ECNUUndergraduateDissertationTemplate),1,21,6,1,2018-04-17,2018-04-17,2022-09-18, ,华东师范大学2018级本科生Latex毕业论文模板
197,华东师范大学,East China Normal University,15/16,[rachlegend/ECNU-Template](https://github.com/rachlegend/ECNU-Template),1,0,0,1,2022-09-03,2022-09-03,2022-12-02, ,华东师范大学硕士研究生毕业论文模版
198,华东师范大学,East China Normal University,15/16,[tangyc8866/ECNU-Undergraduate-TeX-Template](https://github.com/tangyc8866/ECNU-Undergraduate-TeX-Template),1,0,0,2,2020-04-17,2020-04-15,2020-04-17, ,华东师范大学本科生毕业论文TeX模板
199,华南理工大学,South China University of Technology,12/12,[Droliven/scut-thesis-template](https://github.com/Droliven/scut-thesis-template),1,5,0,1,2023-04-07,2023-02-03,2023-04-11,GPL-3.0,Latex template for SCUT Master’s thesis
200,华南理工大学,South China University of Technology,12/12,[KaitlynZeng/SCUT-THESIS](https://github.com/KaitlynZeng/SCUT-THESIS),1,2,2,1,2020-05-29,2020-05-17,2021-05-06, ,scut-thesis latex templete
201,华南理工大学,South China University of Technology,12/12,[OChicken/SCUT-Bachelor-Thesis-Template](https://github.com/OChicken/SCUT-Bachelor-Thesis-Template),1,38,10,4,2021-06-19,2018-05-19,2023-11-25, ,Latex template for the bachelor graduation thesis of South China University of Technology (SCUT)  华南理工大学 本科毕业论文LaTeX模板
202,华南理工大学,South China University of Technology,12/12,[ShevonKuan/SCUT-thesis](https://github.com/ShevonKuan/SCUT-thesis),1,10,0,1,2023-06-01,2023-04-10,2023-11-07, ,华南理工大学 LaTeX 论文模板项目，star一下嘛~(☆▽☆)
203,华南理工大学,South China University of Technology,12/12,[VicoZhang/SCUT_Latex_template](https://github.com/VicoZhang/SCUT_Latex_template),1,1,0,1,2023-02-26,2023-02-26,2023-03-09,MIT,华南理工大学论文模板
204,华南理工大学,South China University of Technology,12/12,[alwintsui/scutthesis](https://github.com/alwintsui/scutthesis),1,208,50,13,2018-01-06,2014-11-12,2023-11-14, ,"Latex/Lyx templates for the thesis specifications of South China University of Technology (SCUT,华南理工大学)"
205,华南理工大学,South China University of Technology,12/12,[h-hg/latex-scut-bachelor-thesis](https://github.com/h-hg/latex-scut-bachelor-thesis),1,9,3,1,2023-05-29,2022-02-18,2023-11-25,MIT,华南理工大学本科毕业论文模板
206,华南理工大学,South China University of Technology,12/12,[mengchaoheng/SCUT_course](https://github.com/mengchaoheng/SCUT_course),1,0,0,1,2023-11-03,2023-11-03,2023-11-03, , 
207,华南理工大学,South China University of Technology,12/12,[mengchaoheng/SCUT_thesis](https://github.com/mengchaoheng/SCUT_thesis),1,188,47,5,2023-11-03,2020-08-31,2023-11-21,GPL-3.0,华南理工大学硕博士学位论文LaTeX模板。Latex templates for the thesis of South China University of Technology
208,华南理工大学,South China University of Technology,12/12,[phreer/scutthesis](https://github.com/phreer/scutthesis),1,15,3,2,2019-06-04,2019-03-29,2023-10-06,Apache-2.0,"Thesis template for SCUT Bechelors, based on SJTUThesis."
209,华南理工大学,South China University of Technology,12/12,[sherrycattt/ScutThesis](https://github.com/sherrycattt/ScutThesis),1,9,0,2,2022-06-19,2021-07-21,2023-09-17, ,华南理工大学博士学位论文Latex模板（修改自ThuThesis https://github.com/tuna/thuthesis）
210,华南理工大学,South China University of Technology,12/12,[yecfly/scut-thesis](https://github.com/yecfly/scut-thesis),1,28,3,1,2021-03-15,2019-11-24,2023-11-14, ,华南理工大学学位论文 Latex/Lyx 模板----latex for SCUT thesis
211,华南农业大学,South China Agricultural University,1/1,[wuenzhe/SCAUThesis](https://github.com/wuenzhe/SCAUThesis),1,5,0,1,2023-03-29,2022-04-20,2023-08-29, ,华南农业大学本科生学位论文latex模板-----SCAU(South China Agricultural University) thesis latex template for undergraduates
212,华南师范大学,South China Normal University,1/2,[scnu/scnuthesis](https://github.com/scnu/scnuthesis),1,185,53,9,2023-02-24,2013-05-02,2023-11-25, ,符合华南师范大学硕士/博士学位论文格式要求的LaTeX模板。
213,华南师范大学,South China Normal University,1/2,[wzpan/scnuthesis](https://github.com/wzpan/scnuthesis),0,9,7,2,2015-01-22,2015-01-22,2023-04-28, ,**【已归档/长久未更新】** 符合华南师范大学硕士/博士学位论文格式要求的LaTeX模板。
214,华中科技大学,Huazhong University of Science,4/6,[Qinnn/LaTeX-ThesisTemplatesForHUSTer](https://github.com/Qinnn/LaTeX-ThesisTemplatesForHUSTer),0,8,2,2,2015-04-22,2015-04-14,2022-05-14, ,**【长久未更新】** A rough LaTeX thesis template for HUSTer
215,华中科技大学,Huazhong University of Science,4/6,[XinzeZhang/HUST-PhD-Thesis-Latex](https://github.com/XinzeZhang/HUST-PhD-Thesis-Latex),1,82,17,3,2023-05-18,2020-11-16,2023-11-25, ,华中科技大学博士毕业论文Latex模板
216,华中科技大学,Huazhong University of Science,4/6,[hust-latex/hustthesis](https://github.com/hust-latex/hustthesis),0,145,30,5,2021-04-29,2013-03-11,2023-11-25,LPPL-1.3c,**【已归档】** :notebook_with_decorative_cover: An Unofficial Thesis Template in LaTeX for Huazhong University of Science and Technology
217,华中科技大学,Huazhong University of Science,4/6,[pyrocat101/hust-thesis-pandoc](https://github.com/pyrocat101/hust-thesis-pandoc),1,37,12,7,2018-11-13,2013-06-13,2023-08-22, ,使用Pandoc Markdown和LaTeX写华中科技大学本科生毕业论文。
218,华中科技大学,Huazhong University of Science,4/6,[skinaze/HUSTPaperTemp](https://github.com/skinaze/HUSTPaperTemp),1,288,51,9,2022-04-12,2017-02-25,2023-11-25,MIT,华中科技大学本科毕业论文LaTeX模板 2017
