index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
57,（英国）格拉斯哥大学,University of Glasgow,0/1,[sdstrowes/Glasgow-Thesis-Template](https://github.com/sdstrowes/Glasgow-Thesis-Template),0,13,21,5,2015-11-20T18:53:54Z,2011-10-14T09:49:21Z,2023-07-02T15:41:41Z,**【长久未更新】** A Glasgow University LaTeX thesis template.
58,（英国）剑桥大学,University of Cambridge,2/3,[cambridge/thesis](https://github.com/cambridge/thesis),1,89,200,13,2022-04-23T07:08:45Z,2011-05-06T10:31:21Z,2023-11-24T19:14:11Z,A LaTeX document class that conforms to the Computer Laboratory's PhD thesis formatting guidelines.
59,（英国）剑桥大学,University of Cambridge,2/3,[kks32/PhDThesisLyX](https://github.com/kks32/PhDThesisLyX),0,25,41,9,2014-08-04T22:56:59Z,2014-01-10T16:47:09Z,2023-10-10T16:31:26Z,**【长久未更新】** A LyX PhD thesis template for Cambridge University Engineering Department
60,（英国）剑桥大学,University of Cambridge,2/3,[kks32/phd-thesis-template](https://github.com/kks32/phd-thesis-template),1,371,770,46,2023-07-30T16:23:14Z,2013-11-14T18:49:32Z,2023-11-24T19:13:17Z,A LaTeX / XeLaTeX / LuaLaTeX PhD thesis template for Cambridge University Engineering Department (CUED)
61,（英国）考文垂大学,Coventry University,1/1,[GR8DAN/coventry-thesis](https://github.com/GR8DAN/coventry-thesis),1,7,12,6,2022-10-30T09:10:51Z,2017-01-20T09:12:32Z,2023-02-03T22:47:26Z,"A LaTeX template for a Coventry University Thesis, based on a Cambridge University Engineering Department template."
62,（英国）伦敦大学学院,University College London (UCL),1/2,[UCL/ucl-latex-thesis-templates](https://github.com/UCL/ucl-latex-thesis-templates),1,103,145,26,2022-07-06T10:18:56Z,2014-06-16T22:17:17Z,2023-10-05T14:12:10Z,UCL LaTeX thesis templates.
63,（英国）伦敦大学学院,University College London (UCL),1/2,[wittawatj/ucl-lyx-thesis](https://github.com/wittawatj/ucl-lyx-thesis),0,2,3,2,2017-10-25T19:12:49Z,2017-10-02T10:29:56Z,2022-06-05T19:27:59Z,**【长久未更新】** PhD thesis template in Lyx for UCL students
64,（英国）伦敦艺术大学,"University of the Arts London, UAL",0/1,[natuk/ual-thesis-template](https://github.com/natuk/ual-thesis-template),0,0,0,1,2015-07-08T08:04:47Z,2015-07-07T20:10:28Z,2015-07-08T08:00:30Z,**【长久未更新】** A LyX (LaTeX) template which conforms to the University of the Arts London standard for writing a PhD thesis.
65,（英国）曼彻斯特大学,University of Manchester,1/1,[Adorno-Lab/phd-thesis-lyx-template](https://github.com/Adorno-Lab/phd-thesis-lyx-template),1,0,0,1,2023-09-22T17:18:14Z,2023-09-21T14:06:32Z,2023-09-21T14:56:23Z,This repository contains the LyX template for the University of Manchester/EEE PhD thesis.
66,（英国）牛津大学,University of Oxford,1/2,[mcmanigle/OxThesis](https://github.com/mcmanigle/OxThesis),1,88,157,4,2021-06-28T16:31:40Z,2017-08-13T19:26:01Z,2023-11-24T19:33:15Z,LaTeX template for an Oxford University thesis
67,（英国）牛津大学,University of Oxford,1/2,[telegraphic/Oxford-LyX-Thesis-Template](https://github.com/telegraphic/Oxford-LyX-Thesis-Template),0,15,29,5,2015-01-27T20:54:21Z,2011-05-13T10:18:51Z,2022-08-11T12:41:49Z,**【长久未更新】** University of Oxford LyX Thesis Template
68,（智利）费德里科圣玛利亚理工大学,"Federico Santa María Technical University (Universidad Técnica Federico Santa María, UTFSM)",1/1,[autopawn/tex-thesis-template](https://github.com/autopawn/tex-thesis-template),1,27,22,2,2023-04-06T20:42:01Z,2017-08-17T02:46:49Z,2023-05-16T19:26:17Z,LaTeX template for undergraduate thesis of informatics engineering at the UTFSM.
