index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
17,（俄罗斯）莫斯科物理技术学院,"Moscow Institute of Physics and Technology (Московский Физико-Технический институт, MIPT)",1/0/0,[yl3dy/mipt-thesis](https://github.com/yl3dy/mipt-thesis), , ,72,19,2022-05-25,2016-06-03,MIT,Шаблон для дипломов в МФТИ
18,（荷兰）代尔夫特理工大学,"Delft University of Technology (Technische Universiteit Delft, TU Delft)",2/0/1,[Inventitech/phd-thesis-template](https://github.com/Inventitech/phd-thesis-template), , ,79,48,2021-03-24,2018-11-11, ,"A LaTeX template for creating beautiful PhD theses, originally created by TU Delft."
19,（荷兰）代尔夫特理工大学,"Delft University of Technology (Technische Universiteit Delft, TU Delft)",2/0/1,[jmilhomens/lyx-phdthesis-tudelft](https://github.com/jmilhomens/lyx-phdthesis-tudelft), ,🔒️,0,0,2016-04-30,2016-04-30, ,My PhD thesis at the TUDelft using Lyx
20,（加拿大）阿尔伯塔大学,University of Alberta,1/0/0,[draldric/uAlberta-Thesis-LaTeX-Template](https://github.com/draldric/uAlberta-Thesis-LaTeX-Template), , ,23,7,2023-12-07,2019-03-12,NOASSERTION,A LaTeX template for the University of Alberta. Compliant with the FGSR Standards.
21,（加拿大）不列颠哥伦比亚大学,University of British Columbia (UBC),2/0/2,[alanmanning/ubc-thesis-lyx](https://github.com/alanmanning/ubc-thesis-lyx), ,🔒️,1,0,2019-05-19,2019-05-19, ,LyX template for a thesis at the University of British Columbia (UBC)
22,（加拿大）不列颠哥伦比亚大学,University of British Columbia (UBC),2/0/2,[oganm/ThesisProposal](https://github.com/oganm/ThesisProposal), ,🔒️,17,14,2016-06-09,2016-02-06, ,PhD thesis proposal. Conforming to UBC style guides
23,（加拿大）多伦多大学,University of Toronto,1/0/0,[jessexknight/ut-thesis](https://github.com/jessexknight/ut-thesis), , ,53,20,2023-02-08,2020-08-06, ,University of Toronto thesis class for LaTeX
24,（加拿大）滑铁卢大学,University of Waterloo,1/0/0,[mohuangrui/uwaterloothesis](https://github.com/mohuangrui/uwaterloothesis), , ,11,4,2021-10-29,2014-07-06, ,LaTeX Thesis Template for The University of Waterloo
25,（加拿大）康考迪亚大学,Concordia University,1/0/0,[Tandysony/LaTeX-Thesis-Template-for-Concordia-University-Students](https://github.com/Tandysony/LaTeX-Thesis-Template-for-Concordia-University-Students), , ,11,13,2021-03-08,2015-10-21, ,A LaTex thesis template and style for ENCS graduate student from Concordia University
26,（捷克）捷克生命科学大学,"Czech University of Life Sciences Prague (Česká zemědělská univerzita v Praze, ČZU/CULS)",1/0/0,[Harvie/CULS-Thesis](https://github.com/Harvie/CULS-Thesis), , ,1,0,2021-07-11,2017-12-04,MIT,Lyx Templates for Bachelor and Master Diploma Thesis at ČZU (CULS)
27,（罗马尼亚）雅西“亚历山德鲁·杨·库扎”大学,"Alexandru Ioan Cuza University of Iasi („Alexandru Ioan Cuza” University of Iași, UAIC)",1/0/0,[blankdots/LatexThesisTemplate](https://github.com/blankdots/LatexThesisTemplate), , ,2,0,2023-12-18,2014-03-31,MIT,LaTeX thesis template for B.Sc. M.Sc. or PhD.
28,（挪威）奥斯陆大学,University of Oslo (Universitetet i Oslo),1/0/0,[uio-latex/phduio-monograph](https://github.com/uio-latex/phduio-monograph), , ,5,1,2023-07-23,2020-08-31,MIT,LaTeX template for monographic PhD theses at the University of Oslo
29,（挪威）挪威科技大学,"Norwegian University of Science and Technology (Norges teknisk-naturvitenskapelige universitet, NTNU)",2/0/1,[COPCSE-NTNU/bachelor-thesis-NTNU](https://github.com/COPCSE-NTNU/bachelor-thesis-NTNU), ,🔒️,15,51,2020-01-10,2016-01-09, ,"A Latex template, class file, and examples for writing a bachelor thesis at NTNU"
30,（挪威）挪威科技大学,"Norwegian University of Science and Technology (Norges teknisk-naturvitenskapelige universitet, NTNU)",2/0/1,[COPCSE-NTNU/thesis-NTNU](https://github.com/COPCSE-NTNU/thesis-NTNU), , ,82,340,2023-09-07,2019-06-27,MIT,"An NTNU thesis LaTeX document class for bachelor, master, and PhD theses"
31,（葡萄牙） 里斯本高等理工学院,"Instituto Superior Técnico (Instituto Superior Técnico, IST)",1/0/0,[themiguelamador/ThesisIST](https://github.com/themiguelamador/ThesisIST), , ,26,8,2023-06-16,2012-12-02, ,LaTeX MSc and PhD Thesis Template - Instituto Superior Técnico
