index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
294,南开大学,Nankai University,13/0/5,[bianbian1234/NKU_latex_template](https://github.com/bianbian1234/NKU_latex_template), , ,2,2,2022-09-28,2021-06-13, ,南开大学硕博论文LATEX模板/答辩用beamer模板
295,南开大学,Nankai University,13/0/5,[hhhhhscott/NKU_Bachelor_Thesis_EO_College_LaTeX_Template](https://github.com/hhhhhscott/NKU_Bachelor_Thesis_EO_College_LaTeX_Template), , ,3,0,2024-02-13,2022-06-04, ,南开大学电光学院本科毕设LaTeX模板
296,南开大学,Nankai University,13/0/5,[kongxiao0532/NKU_Bachelor_Thesis_Template](https://github.com/kongxiao0532/NKU_Bachelor_Thesis_Template), ,🔒️,52,25,2019-03-13,2019-03-06, ,南开大学本科生毕业论文模板 LaTeX template for bachelor thesis in Nankai University (NKU)
297,南开大学,Nankai University,13/0/5,[tensor-matrix/NKUThesis](https://github.com/tensor-matrix/NKUThesis), , ,1,0,2023-05-06,2023-04-25, ,南开大学本科毕业论文模板
298,南开大学,Nankai University,13/0/5,[vicky66/nkuthesis-master-mac](https://github.com/vicky66/nkuthesis-master-mac), ,🔒️,3,2,2019-01-02,2018-12-28, ,南开大学硕博毕业论文latex mac版
299,南开大学,Nankai University,13/0/5,[zihaodong/NKU_thesis](https://github.com/zihaodong/NKU_thesis), , ,0,0,2020-07-18,2020-06-06, ,Latex Template for thesis of Nankai University
300,青岛大学,Qingdao University,1/0/0,[paralevi/QDUthesis](https://github.com/paralevi/QDUthesis), , ,13,9,2020-03-28,2017-04-17, ,LaTeX Template for Qingdao University Bachelor Degree Thesis
301,青岛工学院,Qingdao Institute of Technology,1/0/1,[monburan/oucqdc-LaTeX-document](https://github.com/monburan/oucqdc-LaTeX-document), ,🔒️,0,0,2016-12-18,2016-12-16, ,青岛工学院毕业论文LaTeX模板
302,青海大学,Qinghai University,1/0/0,[coffeelize/QHUthesis](https://github.com/coffeelize/QHUthesis), , ,4,0,2023-05-23,2022-04-20, ,青海大学本科毕业论文（设计）LaTeX模板
303,清华大学,Tsinghua University,6/0/2,[LUKE-ZZ/thuthesis-biomedical](https://github.com/LUKE-ZZ/thuthesis-biomedical), , ,13,2,2023-09-14,2022-12-10, ,清华大学生物，医学，药学等相关专业的毕业论文latex模板。也适用于其他专业。适合本硕博毕业论文和博后报告。本模板在tuna协会的thuthesis项目基础上，增补了和生医药相关同学的内容，也增添了对latex新手更加友好的注释。
304,清华大学,Tsinghua University,6/0/2,[Markshilong/THU_Thesis_Bachelor](https://github.com/Markshilong/THU_Thesis_Bachelor), , ,0,0,2022-05-30,2022-05-29,LPPL-1.3c,The bachelor graduation thesis in THU
305,清华大学,Tsinghua University,6/0/2,[iso9/thuthesis](https://github.com/iso9/thuthesis), ,🔒️,1,1,2013-03-13,2013-03-13, ,thesis for tsinghua university
306,清华大学,Tsinghua University,6/0/2,[tuna/thuthesis](https://github.com/tuna/thuthesis), , ,4268,1043,2024-02-27,2011-09-12,LPPL-1.3c,LaTeX Thesis Template for Tsinghua University
307,清华大学,Tsinghua University,6/0/2,[xavieryao/thu-ell-bachelor-thesis](https://github.com/xavieryao/thu-ell-bachelor-thesis), ,🔒️,3,0,2019-10-04,2019-06-09, , 
308,清华大学,Tsinghua University,6/0/2,[xueruini/thuthesis](https://github.com/xueruini/thuthesis), , ,24,10,2020-05-29,2020-05-29, ,LaTeX Thesis Template for Tsinghua University
309,三峡大学,China Three Gorges University,1/0/1,[sxdxyxy/smartmedical](https://github.com/sxdxyxy/smartmedical), ,🔒️,2,1,2017-04-15,2017-04-15, , 
310,山东大学,Shandong University,12/0/5,[ChenMeng0518/sduthesis](https://github.com/ChenMeng0518/sduthesis), ,🔒️,6,7,2015-01-03,2013-05-12, ,SDU Thesis Template for LaTeX
311,山东大学,Shandong University,12/0/5,[IIIIntx/-sdu-latex-](https://github.com/IIIIntx/-sdu-latex-), , ,0,0,2023-05-19,2023-05-19,GPL-3.0,这是山东大学shaniversity(SDU)本科学位bachelor degree论文latex模板
312,山东大学,Shandong University,12/0/5,[Ice0cean/sdumt](https://github.com/Ice0cean/sdumt), ,🔒️,0,0,2015-07-26,2015-07-26, ,The template of the Shandong University master thesis
313,山东大学,Shandong University,12/0/5,[Liam0205/sduthesis](https://github.com/Liam0205/sduthesis), ,🔒️,63,26,2017-03-23,2016-01-19,NOASSERTION,山东大学学位论文模板 (LaTeX thesis template for Shandong University)
314,山东大学,Shandong University,12/0/5,[OpenMandrivaAssociation/texlive-sduthesis](https://github.com/OpenMandrivaAssociation/texlive-sduthesis), , ,0,0,2023-10-04,2022-11-16, ,Thesis Template of Shandong University
315,山东大学,Shandong University,12/0/5,[arisukawa/SDU-Latex-Template-for-dissertations](https://github.com/arisukawa/SDU-Latex-Template-for-dissertations), , ,18,6,2021-09-07,2021-09-07, ,适用于山东大学硕博论文写作规范的Latex模板，根据北大模板pkuthss改编。
316,山东大学,Shandong University,12/0/5,[bearshng/sduthesis](https://github.com/bearshng/sduthesis), ,🔒️,8,2,2015-03-27,2015-03-27, ,山东大学本科毕业设计Latex模板
317,山东大学,Shandong University,12/0/5,[cnDelbert/SDU_thesis_template_for_postgraduate](https://github.com/cnDelbert/SDU_thesis_template_for_postgraduate), , ,84,31,2022-03-11,2016-10-01, ,山东大学硕/博士研究生毕业论文模板
318,山东大学,Shandong University,12/0/5,[lichuanxiang/SDUGradThesis](https://github.com/lichuanxiang/SDUGradThesis), , ,1,0,2022-01-27,2022-01-27,MIT,山大硕士/博士毕业论文
319,山东大学,Shandong University,12/0/5,[luxun59/latex_Template](https://github.com/luxun59/latex_Template), , ,5,0,2023-01-17,2023-01-16, ,latex的论文模板（依据山东大学毕设论文要求制作）。
320,山东大学,Shandong University,12/0/5,[sailist/Refined-Version-of-SDU-Thesis-Template](https://github.com/sailist/Refined-Version-of-SDU-Thesis-Template), , ,2,0,2023-02-16,2023-02-16,MIT,山东大学硕士学位论文模板-理工医学类-样式精修版
321,山东大学,Shandong University,12/0/5,[wangkerui/sduthesis](https://github.com/wangkerui/sduthesis), ,🔒️,6,0,2014-05-27,2014-04-30,WTFPL,LaTeX Thesis Template for Shandong University
322,山东师范大学,Shandong Normal University,2/0/0,[RuYunW/SDNU-LaTeX-bachelor-2021](https://github.com/RuYunW/SDNU-LaTeX-bachelor-2021), , ,10,1,2022-05-16,2021-04-20,GPL-3.0,山东师范大学本科生学位论文Latex模板（2021版）
323,山东师范大学,Shandong Normal University,2/0/0,[SmartHelium/sdnubachelor](https://github.com/SmartHelium/sdnubachelor), , ,6,4,2023-03-15,2018-03-28,GPL-3.0,A LaTeX template for sdnu bachelor based on CTeX !
324,山西农业大学,Shanxi Agricultural University,1/0/1,[dubuqingfeng/sxau-document](https://github.com/dubuqingfeng/sxau-document), ,🔒️,1,1,2016-12-13,2016-12-12, ,毕业设计文档LaTeX模版
325,陕西师范大学,Shaanxi Normal University,1/0/0,[yykphy/yk-snnu-thesis](https://github.com/yykphy/yk-snnu-thesis), , ,6,0,2023-07-18,2023-07-17, ,Shaanxi Normal University PhD/Master's Thesis LaTeX Template
