学校（机构）	学校（机构）英文	分类	语言	GitHub仓库	已归档	Star数	Fork数
四川大学	Sichuan University	thesis	latex	https://github.com/cuiao/SCU_ThesisDissertation_LaTeXTemplate	False	102	56
通用模板	Common Templates	book	latex	https://github.com/academic-templates/tex-book-template	False	102	40
厦门大学	Xiamen University	thesis	latex	https://github.com/CamuseCao/XMU-thesis	False	102	24
华东师范大学	East China Normal University	thesis	latex	https://github.com/ECNU-ICA/ECNU_graduation_thesis_template	False	102	21
（俄罗斯）塞瓦斯托波尔国立技术大学	Sevastopol National Technical University	thesis	latex	https://github.com/Amet13/tex-thesis	False	100	27
上海大学	Shanghai University	thesis	latex	https://github.com/BlueFisher/shuthesis	False	100	25
清华大学	Tsinghua University	presentation	latex	https://github.com/YangLaTeX/thubeamer	False	99	20
中国海洋大学	Ocean University of China	thesis	latex	https://github.com/summitgao/OUC-LaTex-bachelor	False	99	18
（希腊）雅典国家技术大学	National Technical University of Athens (NTUA)	thesis	latex	https://github.com/estamos/NTUA-ECE-Thesis-Template	False	99	12
北京邮电大学	Beijing University of Posts and Telecommunications	thesis	latex	https://github.com/Jimmy-L4/BUPTGraduateThesis	False	99	5
通用模板	Common Templates	thesis	markdown	https://github.com/cagix/pandoc-thesis	False	98	27
东南大学	Southeast University	thesis	latex	https://github.com/zhimengfan1990/seuthesix	False	96	52
通用模板	Common Templates	paper	latex	https://github.com/ruohoruotsi/latex-template-arxiv-preprint	False	96	25
东南大学	Southeast University	thesis	latex	https://github.com/SuikaXhq/seu-bachelor-thesis-2022	False	96	5
（越南）河内国家大学	Vietnam National University (Hanoi)	thesis	latex	https://github.com/leduyquang753/uet-graduation-latex	False	95	23
福州大学	Fuzhou University	thesis	latex	https://github.com/siaimes/ThesisFZU	True	95	16
南方科技大学	Southern University of Science and Technology	thesis	latex	https://github.com/Peng-YM/SUSTech-Thesis	True	94	29
大连理工大学	Dalian University of Technology	presentation	latex	https://github.com/fuujiro/DLUT-Beamer-Slide-V2	False	94	22
浙江大学	Zhejiang University	presentation	latex	https://github.com/qychen2001/ZJU-Beamer-Template	False	94	8
北京邮电大学	Beijing University of Posts and Telecommunications	thesis	typst	https://github.com/QQKdeGit/bupt-typst	False	94	6
深圳大学	Shenzhen University	thesis	latex	https://github.com/Cao-Wuhui/SZU_Latex_Master_Template	False	92	10
通用模板	Common Templates	presentation	latex	https://github.com/pm25/SimpleDarkBlue-BeamerTheme	False	91	15
华中科技大学	Huazhong University of Science	thesis	latex	https://github.com/zfengg/HUSTtex	False	91	11
通用模板	Common Templates	presentation	latex	https://github.com/martinbjeldbak/beamertheme-bjeldbak	False	89	26
通用模板	Common Templates	thesis	latex	https://github.com/severinlandolt/latex-thesis-template	False	87	16
大连民族大学	Dalian Minzu University	thesis	latex	https://github.com/neumason/DLNU	False	87	3
哈尔滨工业大学	Harbin Institute of Technology	presentation	latex	https://github.com/SUSTC/sustech-slides	False	86	21
通用模板	Common Templates	report	latex	https://github.com/quarto-journals/article-format-template	False	86	20
上海大学	Shanghai University	thesis	typst	https://github.com/shuosc/SHU-Bachelor-Thesis-Typst	False	86	17
山东大学	Shandong University	thesis	latex	https://github.com/Liam0205/sduthesis	False	85	31
北京交通大学	Beijing Jiaotong University	thesis	latex	https://github.com/xfdywy/bjtu-thesis-templete	False	85	25
（俄罗斯）莫斯科物理技术学院	Moscow Institute of Physics and Technology (MIPT)	thesis	latex	https://github.com/yl3dy/mipt-thesis	False	85	24
香港大学	University of Hong Kong (UHK)	thesis	latex	https://github.com/monaen/HKU-Thesis-Template	False	85	12
中国海洋大学	Ocean University of China	thesis	latex	https://github.com/summitgao/OUC-LaTex-master	False	85	11
（加拿大）多伦多大学	University of Toronto	thesis	latex	https://github.com/jessexknight/ut-thesis	False	84	30
中国地质大学（武汉）	China University of Geosciences	thesis	latex	https://github.com/Timozer/CUGThesis	False	84	24
武汉大学	Wuhan University	presentation	latex	https://github.com/hrtan99/WHU-Beamer	False	84	4
通用模板	Common Templates	presentation	latex	https://github.com/seth-brown/drbunsen-beamer	False	83	19
通用模板	Common Templates	report	typst	https://github.com/jskherman/jsk-lecnotes	False	83	2
北京邮电大学	Beijing University of Posts and Telecommunications	thesis	latex	https://github.com/qcts33/BUPTthesis-ctex	False	82	27
同济大学	Tongji University	report	latex	https://github.com/TJ-CSCCG/tongji-recommendation-template	False	82	5
（印度）科泽科德国立理工学院	National Institute of Technology Calicut (NITC)	thesis	latex	https://github.com/k4rtik/latex-project-report-template	False	81	46
（美国）华盛顿大学	University of Washington (UW)	thesis	latex	https://github.com/UWIT-IAM/UWThesis	True	80	64
复旦大学	Fudan University	thesis	latex	https://github.com/yzbrlan/fudan-thesis-latex-template	False	80	20
东北大学	Northeastern University	thesis	latex	https://github.com/tzaiyang/NEUBachelorThesis	False	80	12
通用模板	Common Templates	presentation	typst	https://github.com/manjavacas/typslides	False	80	11
（美国）加利福尼亚大学欧文分校	University of California, Irvine (UCI)	thesis	latex	https://github.com/lotten/uci-thesis-latex	False	79	56
（马耳他）马耳他大学	University of Malta	thesis	latex	https://github.com/jp-um/university_of_malta_LaTeX_dissertation_template	False	79	36
东南大学	Southeast University	thesis	latex	https://github.com/DansYU/SeuThesiY	False	78	21
中国科学院大学	University of Chinese Academy of Sciences	report	latex	https://github.com/jweihe/UCAS_Latex_Template	False	78	10
中南大学	Central South University	thesis	latex	https://github.com/CSGrandeur/CSU-Thesis-LaTeX-Template	False	77	36
西北工业大学	Northwestern Polytechnical University	thesis	latex	https://github.com/NPUSCG/nputhesis	False	77	34
台湾阳明交通大学	National Yang Ming Chiao Tung University (NYCU)	thesis	latex	https://github.com/borting/nctu-thesis	False	77	24
四川大学	Sichuan University	thesis	latex	https://github.com/fatestigma/scuthesis	False	77	16
通用模板	Common Templates	report	latex	https://github.com/emersonmello/modelos-latex	False	76	45
香港科技大学	Hong Kong University Of Science And Technology (HUST)	thesis	latex	https://github.com/Cheedoong/hkust-latex-thesis	False	76	43
（比利时）安特卫普大学	University of Antwerp	presentation	latex	https://github.com/nschloe/ua-beamer	False	76	23
华东师范大学	East China Normal University	thesis	latex	https://github.com/Koyamin/ECNUThesis	False	76	19
（美国）加利福尼亚大学圣迭戈分校	University of California, San Diego (UCSD)	thesis	latex	https://github.com/ucsd-thesis/ucsd-thesis	False	75	61
（英国）牛津大学	University of Oxford	presentation	latex	https://github.com/gbaydin/oxford-poster	False	75	44
通用模板	Common Templates	paper	latex	https://github.com/AndrewGYork/publication_template	False	75	14
西安电子科技大学	Xidian University	thesis	typst	https://github.com/Hubert9982/typst_xdutemplate	False	75	9
台湾阳明交通大学	National Yang Ming Chiao Tung University (NYCU)	thesis	latex	https://github.com/hungys/nctu-thesis-latex	False	74	29
武汉理工大学	Wuhan University of Technology	thesis	latex	https://github.com/tsaoyu/WHUT-LaTeX-bachelor	False	73	25
河海大学	Hohai University	thesis	latex	https://github.com/caowenhan/hhuthesis	False	73	16
南京邮电大学	Nanjing University of Posts and Telecommunications	thesis	latex	https://github.com/gzr-lgtm/NJUPThesis-Bachelor	False	73	11
上海交通大学	Shanghai Jiaotong University	thesis	typst	https://github.com/sjtug/modern-sjtu-thesis	False	73	9
（荷兰）代尔夫特理工大学	Delft University of Technology	thesis	latex	https://github.com/dzwaneveld/tudelft-report-thesis-template	False	72	22
合肥工业大学	HeFei University of Technology	thesis	latex	https://github.com/netcan/HFUT_Thesis	False	72	18
（匈牙利）罗兰大学	Eötvös Loránd University	thesis	latex	https://github.com/mcserep/elteikthesis	False	72	16
通用模板	Common Templates	report	latex	https://github.com/cdc08x/letter-2-reviewers-LaTeX-template	False	71	24
通用模板	Common Templates	paper	latex	https://github.com/XuehaiPan/LaTeX-Templates	False	71	16
